Topic  Precision   Recall  F1
R101   1.0  0.6875    0.8148148148148148
R102   1.0  0.35175879396984927    0.5204460966542751
R103   0.7358490566037735  0.8863636363636364    0.8041237113402062
R104   1.0  0.9329896907216495    0.9653333333333334
R105   0.7714285714285715  0.9310344827586207    0.8437500000000001
R106   0.4186046511627907  0.9473684210526315    0.5806451612903226
R107   0.22916666666666666  0.6470588235294118    0.3384615384615385
R108   0.6046511627906976  0.7878787878787878    0.6842105263157895
R109   0.975  1.0    0.9873417721518987
R110   0.4342105263157895  0.9428571428571428    0.5945945945945946
R111   0.4117647058823529  0.4117647058823529    0.4117647058823529
R112   0.4  0.9523809523809523    0.5633802816901408
R113   0.734375  0.9215686274509803    0.8173913043478261
R114   0.8823529411764706  0.9375    0.9090909090909091
R115   0.17142857142857143  1.0    0.2926829268292683
R116   0.8571428571428571  0.75    0.7999999999999999
R117   0.23076923076923078  1.0    0.375
R118   0.3333333333333333  1.0    0.5
R119   0.5769230769230769  1.0    0.7317073170731707
R120   0.18518518518518517  1.0    0.3125
R121   0.9871794871794872  0.9625    0.9746835443037976
R122   1.0  0.4807692307692308    0.6493506493506493
R123   0.24  0.9230769230769231    0.38095238095238093
R124   0.6774193548387096  1.0    0.8076923076923077
R125   0.5789473684210527  0.4074074074074074    0.47826086956521735
R126   0.9655172413793104  1.0    0.9824561403508771
R127   0.8888888888888888  0.8421052631578947    0.8648648648648649
R128   0.5416666666666666  0.9629629629629629    0.6933333333333334
R129   1.0  0.8591549295774648    0.9242424242424242
R130   0.6470588235294118  1.0    0.7857142857142858
R131   0.72  0.9473684210526315    0.8181818181818181
R132   0.20930232558139536  0.6923076923076923    0.32142857142857145
R133   0.4222222222222222  1.0    0.59375
R134   0.43333333333333335  1.0    0.6046511627906976
R135   0.8620689655172413  1.0    0.9259259259259259
R136   0.8611111111111112  0.9393939393939394    0.8985507246376813
R137   0.22857142857142856  0.8    0.3555555555555555
R138   0.5408163265306123  1.0    0.7019867549668874
R139   0.75  0.8571428571428571    0.7999999999999999
R140   0.23076923076923078  0.8571428571428571    0.36363636363636365
R141   1.0  0.9090909090909091    0.9523809523809523
R142   0.25  1.0    0.4
R143   0.48936170212765956  0.9583333333333334    0.6478873239436619
R144   0.6666666666666666  0.9032258064516129    0.7671232876712328
R145   0.0  0    0
R146   0.75  0.3103448275862069    0.4390243902439025
R147   0.45901639344262296  1.0    0.6292134831460674
R148   1.0  0.7666666666666667    0.8679245283018869
R149   0.6666666666666666  0.8235294117647058    0.7368421052631577
R150   0.3793103448275862  1.0    0.5499999999999999
